Load GaoDataSet from /home/sagemaker-user/BigDataSys-Project8/SolubNet/SolubNetD/dataset/Delaney1144.csv ... done (1145 lines, 9.560 seconds) 
# of training graphs/labels:      1030
# of teating graphs/labels:      114
Training Started ...
******************** 1  fold ing.... ********************
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC       ValidLoss        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
       276           0.605           0.531           0.703           0.886           0.946           0.555           0.506           0.646           0.911           0.943         723.378
       277           0.595           0.523           0.693           0.890           0.948           0.570           0.517           0.660           0.907           0.942         725.999
       278           0.592           0.521           0.690           0.891           0.948           0.565           0.514           0.656           0.908           0.942         728.624
       279           0.592           0.521           0.691           0.891           0.948           0.567           0.515           0.658           0.908           0.942         731.266
       280           0.592           0.521           0.690           0.891           0.948           0.567           0.514           0.658           0.908           0.942         733.915
       281           0.586           0.517           0.685           0.892           0.949           0.575           0.521           0.666           0.906           0.941         736.541
       282           0.585           0.516           0.684           0.893           0.950           0.574           0.520           0.665           0.906           0.941         739.217
       283           0.586           0.517           0.684           0.893           0.950           0.575           0.520           0.665           0.906           0.941         741.847
       284           0.586           0.516           0.684           0.893           0.950           0.574           0.520           0.665           0.906           0.942         744.469
       285           0.586           0.516           0.684           0.893           0.950           0.575           0.520           0.665           0.906           0.941         747.103
       286           0.586           0.516           0.684           0.893           0.949           0.575           0.520           0.665           0.906           0.941         749.732
       287           0.582           0.514           0.681           0.894           0.950           0.582           0.525           0.672           0.904           0.941         752.348
       288           0.582           0.514           0.681           0.894           0.950           0.584           0.527           0.674           0.903           0.940         754.989
       289           0.582           0.514           0.681           0.894           0.950           0.583           0.526           0.673           0.904           0.940         757.631
       290           0.582           0.514           0.681           0.894           0.950           0.582           0.526           0.673           0.904           0.941         760.325
       291           0.582           0.514           0.681           0.894           0.950           0.583           0.526           0.673           0.904           0.941         762.950
       292           0.581           0.513           0.679           0.894           0.951           0.592           0.534           0.682           0.901           0.939         765.583
       293           0.582           0.514           0.680           0.894           0.951           0.596           0.536           0.686           0.900           0.939         768.208
       294           0.582           0.514           0.681           0.894           0.951           0.596           0.536           0.686           0.900           0.939         770.834
       295           0.582           0.514           0.680           0.894           0.951           0.595           0.536           0.685           0.900           0.939         773.453
       296           0.582           0.514           0.681           0.894           0.951           0.595           0.536           0.685           0.900           0.939         776.093
       297           0.582           0.513           0.681           0.894           0.951           0.606           0.545           0.696           0.897           0.939         778.710
       298           0.584           0.515           0.683           0.893           0.950           0.614           0.551           0.703           0.895           0.938         781.387
       299           0.585           0.516           0.684           0.893           0.950           0.615           0.552           0.705           0.894           0.937         784.045
       300           0.585           0.516           0.684           0.893           0.950           0.616           0.552           0.705           0.894           0.937         786.697
       301           0.586           0.516           0.685           0.892           0.950           0.617           0.553           0.706           0.894           0.937         789.330
       302           0.588           0.517           0.687           0.892           0.950           0.620           0.556           0.709           0.893           0.937         791.954
       303           0.589           0.517           0.688           0.891           0.950           0.621           0.557           0.710           0.893           0.937         794.609
       304           0.589           0.517           0.688           0.891           0.950           0.620           0.556           0.710           0.893           0.938         797.236
       305           0.588           0.516           0.687           0.892           0.950           0.598           0.537           0.688           0.899           0.939         799.960
       306           0.586           0.513           0.685           0.892           0.950           0.591           0.532           0.681           0.901           0.939         802.650
       307           0.585           0.512           0.683           0.893           0.950           0.589           0.531           0.680           0.902           0.940         805.326
       308           0.584           0.512           0.683           0.893           0.951           0.589           0.531           0.680           0.902           0.939         807.988
       309           0.582           0.510           0.680           0.894           0.951           0.567           0.513           0.658           0.908           0.941         810.670
       310           0.579           0.508           0.677           0.895           0.951           0.565           0.512           0.655           0.909           0.941         813.337
       311           0.578           0.508           0.677           0.895           0.951           0.566           0.512           0.656           0.908           0.941         816.001
       312           0.578           0.508           0.677           0.895           0.951           0.567           0.513           0.658           0.908           0.941         818.694
       313           0.578           0.508           0.677           0.895           0.951           0.567           0.513           0.658           0.908           0.941         821.377
       314           0.579           0.508           0.677           0.895           0.951           0.568           0.514           0.659           0.908           0.941         824.065
       315           0.579           0.508           0.677           0.895           0.951           0.568           0.514           0.659           0.908           0.941         826.741
       316           0.576           0.507           0.674           0.896           0.952           0.554           0.504           0.645           0.911           0.942         829.419
       317           0.575           0.506           0.673           0.896           0.952           0.554           0.504           0.645           0.911           0.941         832.068
       318           0.575           0.506           0.673           0.896           0.952           0.556           0.505           0.647           0.911           0.941         834.716
       319           0.575           0.506           0.673           0.896           0.952           0.556           0.505           0.647           0.911           0.941         837.376
       320           0.575           0.506           0.673           0.896           0.952           0.557           0.506           0.648           0.911           0.941         840.077
       321           0.575           0.506           0.673           0.896           0.952           0.557           0.506           0.648           0.911           0.941         842.703
       322           0.575           0.506           0.673           0.896           0.952           0.558           0.506           0.649           0.911           0.941         845.342
       323           0.573           0.505           0.671           0.897           0.952           0.549           0.500           0.640           0.913           0.942         847.974
       324           0.572           0.505           0.670           0.897           0.952           0.550           0.501           0.641           0.913           0.942         850.618
       325           0.572           0.505           0.670           0.897           0.952           0.551           0.501           0.642           0.912           0.942         853.277
       326           0.573           0.505           0.671           0.897           0.952           0.551           0.501           0.642           0.912           0.942         855.929
       327           0.573           0.505           0.671           0.897           0.952           0.551           0.502           0.643           0.912           0.942         858.609
       328           0.573           0.505           0.671           0.897           0.952           0.552           0.502           0.643           0.912           0.942         861.262
       329           0.571           0.504           0.669           0.897           0.952           0.546           0.498           0.637           0.914           0.942         863.895
       330           0.571           0.504           0.669           0.897           0.952           0.547           0.498           0.638           0.913           0.942         866.482
       331           0.571           0.504           0.669           0.897           0.952           0.547           0.498           0.639           0.913           0.942         869.075
       332           0.571           0.504           0.669           0.897           0.952           0.548           0.499           0.639           0.913           0.942         871.673
       333           0.571           0.504           0.669           0.897           0.952           0.548           0.499           0.639           0.913           0.942         874.290
       334           0.571           0.504           0.669           0.897           0.952           0.548           0.499           0.639           0.913           0.942         876.911
       335           0.570           0.503           0.668           0.898           0.952           0.544           0.496           0.636           0.914           0.942         879.538
       336           0.570           0.503           0.668           0.898           0.952           0.545           0.496           0.636           0.914           0.942         882.224
       337           0.570           0.503           0.668           0.898           0.952           0.545           0.497           0.637           0.914           0.942         884.819
       338           0.570           0.503           0.668           0.898           0.952           0.545           0.497           0.637           0.914           0.942         887.410
       339           0.570           0.503           0.668           0.898           0.952           0.546           0.497           0.637           0.914           0.942         890.010
       340           0.570           0.503           0.668           0.898           0.952           0.546           0.497           0.637           0.914           0.942         892.624
       341           0.569           0.503           0.667           0.898           0.952           0.543           0.495           0.634           0.914           0.942         895.230
       342           0.569           0.503           0.667           0.898           0.952           0.544           0.495           0.635           0.914           0.942         897.822
       343           0.569           0.503           0.667           0.898           0.952           0.544           0.495           0.635           0.914           0.942         900.424
       344           0.569           0.503           0.667           0.898           0.952           0.544           0.495           0.635           0.914           0.942         903.039
       345           0.569           0.503           0.667           0.898           0.952           0.544           0.495           0.635           0.914           0.942         905.640
       346           0.568           0.503           0.666           0.898           0.952           0.541           0.493           0.633           0.915           0.942         908.231
       347           0.568           0.503           0.666           0.898           0.952           0.542           0.494           0.634           0.915           0.942         910.852
       348           0.568           0.503           0.666           0.898           0.952           0.542           0.494           0.634           0.915           0.942         913.461
       349           0.568           0.503           0.666           0.898           0.952           0.542           0.494           0.634           0.915           0.942         916.056
       350           0.568           0.503           0.666           0.898           0.952           0.542           0.494           0.634           0.915           0.942         918.722
       351           0.568           0.503           0.666           0.898           0.953           0.540           0.492           0.631           0.915           0.943         921.399
       352           0.568           0.503           0.666           0.898           0.952           0.541           0.493           0.632           0.915           0.943         923.993
       353           0.568           0.503           0.666           0.898           0.952           0.541           0.492           0.632           0.915           0.943         926.587
       354           0.568           0.503           0.666           0.898           0.952           0.541           0.493           0.632           0.915           0.943         929.193
       355           0.568           0.503           0.666           0.898           0.952           0.541           0.493           0.632           0.915           0.943         931.792
       356           0.568           0.502           0.666           0.898           0.953           0.538           0.490           0.630           0.916           0.943         934.389
       357           0.568           0.503           0.666           0.898           0.952           0.539           0.491           0.630           0.916           0.943         936.986
       358           0.568           0.503           0.666           0.898           0.952           0.539           0.491           0.630           0.916           0.943         939.604
       359           0.568           0.503           0.666           0.898           0.952           0.539           0.491           0.630           0.916           0.943         942.202
       360           0.568           0.502           0.666           0.898           0.952           0.539           0.491           0.630           0.916           0.943         944.793
       361           0.567           0.502           0.666           0.898           0.953           0.536           0.488           0.628           0.916           0.943         947.392
       362           0.568           0.503           0.666           0.898           0.952           0.536           0.489           0.628           0.916           0.943         950.008
       363           0.568           0.503           0.666           0.898           0.952           0.537           0.489           0.628           0.916           0.943         952.598
       364           0.568           0.503           0.666           0.898           0.952           0.537           0.489           0.628           0.916           0.943         955.191
       365           0.568           0.503           0.666           0.898           0.952           0.537           0.489           0.628           0.916           0.943         957.805
       366           0.568           0.502           0.666           0.898           0.952           0.534           0.486           0.625           0.917           0.943         960.464
       367           0.568           0.503           0.666           0.898           0.952           0.534           0.486           0.625           0.917           0.943         963.061
       368           0.568           0.503           0.666           0.898           0.952           0.534           0.486           0.626           0.917           0.943         965.649
       369           0.568           0.503           0.666           0.898           0.952           0.534           0.486           0.626           0.917           0.943         968.258
       370           0.568           0.503           0.666           0.898           0.952           0.531           0.484           0.623           0.918           0.944         970.864
       371           0.569           0.503           0.667           0.898           0.952           0.531           0.484           0.622           0.918           0.944         973.468
       372           0.569           0.503           0.667           0.898           0.952           0.531           0.484           0.622           0.918           0.944         976.058
       373           0.569           0.503           0.667           0.898           0.952           0.531           0.484           0.622           0.918           0.944         978.703
       374           0.569           0.503           0.667           0.898           0.952           0.528           0.482           0.620           0.918           0.944         981.311
       375           0.570           0.503           0.668           0.898           0.952           0.528           0.481           0.620           0.918           0.944         984.000
       376           0.570           0.504           0.668           0.898           0.952           0.528           0.481           0.619           0.918           0.944         986.615
       377           0.570           0.504           0.668           0.898           0.952           0.528           0.481           0.619           0.918           0.944         989.216
       378           0.570           0.503           0.668           0.898           0.952           0.526           0.480           0.618           0.919           0.944         991.817
       379           0.570           0.504           0.668           0.898           0.952           0.526           0.480           0.618           0.919           0.944         994.411
       380           0.571           0.504           0.668           0.897           0.952           0.526           0.479           0.618           0.919           0.944         997.022
       381           0.571           0.504           0.668           0.897           0.952           0.526           0.479           0.618           0.919           0.944         999.621
       382           0.570           0.504           0.668           0.898           0.952           0.525           0.479           0.617           0.919           0.944        1002.282
       383           0.571           0.504           0.668           0.898           0.952           0.525           0.479           0.617           0.919           0.944        1004.873
       384           0.571           0.504           0.668           0.898           0.952           0.525           0.479           0.617           0.919           0.944        1007.484
       385           0.571           0.504           0.668           0.898           0.952           0.525           0.479           0.617           0.919           0.944        1010.075
       386           0.570           0.504           0.667           0.898           0.952           0.525           0.479           0.617           0.919           0.944        1012.667
       387           0.570           0.504           0.667           0.898           0.952           0.525           0.479           0.617           0.919           0.944        1015.277
       388           0.570           0.504           0.667           0.898           0.952           0.525           0.479           0.617           0.919           0.944        1017.874
       389           0.570           0.504           0.667           0.898           0.952           0.525           0.479           0.617           0.919           0.944        1020.483
       390           0.570           0.504           0.666           0.898           0.952           0.525           0.479           0.617           0.919           0.944        1023.069
       391           0.569           0.504           0.666           0.898           0.953           0.525           0.479           0.617           0.919           0.944        1025.681
       392           0.569           0.504           0.666           0.898           0.953           0.525           0.479           0.617           0.919           0.944        1028.275
       393           0.569           0.504           0.666           0.898           0.953           0.525           0.479           0.617           0.919           0.944        1030.877
       394           0.569           0.504           0.665           0.898           0.953           0.526           0.480           0.618           0.919           0.944        1033.487
       395           0.568           0.503           0.665           0.898           0.953           0.526           0.480           0.618           0.919           0.944        1036.105
       396           0.568           0.503           0.665           0.898           0.953           0.526           0.480           0.618           0.919           0.944        1038.733
       397           0.568           0.503           0.665           0.898           0.953           0.526           0.480           0.618           0.919           0.944        1041.392
       398           0.568           0.503           0.665           0.899           0.953           0.527           0.481           0.619           0.919           0.944        1044.000
       399           0.567           0.503           0.664           0.899           0.953           0.527           0.481           0.619           0.919           0.944        1046.595
       400           0.567           0.503           0.664           0.899           0.953           0.527           0.481           0.619           0.919           0.944        1049.187
       401           0.567           0.503           0.664           0.899           0.953           0.527           0.481           0.619           0.919           0.944        1051.780
       402           0.567           0.503           0.664           0.899           0.953           0.527           0.481           0.619           0.919           0.944        1054.386
       403           0.567           0.503           0.664           0.899           0.953           0.527           0.481           0.619           0.919           0.944        1056.973
       404           0.567           0.503           0.664           0.899           0.953           0.527           0.481           0.619           0.919           0.944        1059.571
       405           0.567           0.503           0.664           0.899           0.953           0.528           0.482           0.620           0.918           0.944        1062.164
       406           0.567           0.503           0.664           0.899           0.953           0.528           0.482           0.620           0.918           0.944        1064.777
       407           0.567           0.503           0.664           0.899           0.953           0.528           0.482           0.620           0.918           0.944        1067.364
       408           0.567           0.503           0.664           0.899           0.953           0.528           0.482           0.620           0.918           0.944        1069.959
       409           0.567           0.503           0.664           0.899           0.953           0.528           0.482           0.620           0.918           0.944        1072.572
       410           0.567           0.503           0.664           0.899           0.953           0.528           0.482           0.620           0.918           0.944        1075.162
       411           0.566           0.503           0.663           0.899           0.953           0.529           0.482           0.620           0.918           0.944        1077.755
       412           0.566           0.502           0.663           0.899           0.953           0.529           0.482           0.620           0.918           0.944        1080.415
       413           0.566           0.502           0.663           0.899           0.953           0.528           0.482           0.620           0.918           0.944        1083.022
       414           0.566           0.502           0.663           0.899           0.953           0.528           0.482           0.620           0.918           0.944        1085.613
       415           0.566           0.502           0.663           0.899           0.953           0.528           0.482           0.620           0.918           0.944        1088.208
       416           0.566           0.502           0.663           0.899           0.953           0.528           0.482           0.620           0.918           0.944        1090.813
       417           0.566           0.502           0.663           0.899           0.953           0.529           0.483           0.621           0.918           0.944        1093.442
       418           0.566           0.502           0.663           0.899           0.953           0.529           0.483           0.621           0.918           0.944        1096.097
       419           0.566           0.502           0.663           0.899           0.953           0.529           0.483           0.621           0.918           0.944        1098.752
       420           0.566           0.502           0.663           0.899           0.953           0.529           0.483           0.621           0.918           0.944        1101.397
       421           0.566           0.502           0.663           0.899           0.953           0.529           0.483           0.621           0.918           0.944        1103.989
       422           0.566           0.502           0.663           0.899           0.953           0.529           0.483           0.621           0.918           0.944        1106.581
       423           0.566           0.502           0.663           0.899           0.953           0.530           0.484           0.622           0.918           0.944        1109.175
       424           0.565           0.502           0.662           0.899           0.953           0.530           0.484           0.622           0.918           0.944        1111.787
       425           0.565           0.502           0.662           0.899           0.953           0.530           0.484           0.622           0.918           0.944        1114.383
       426           0.565           0.502           0.662           0.899           0.953           0.530           0.484           0.622           0.918           0.944        1116.975
       427           0.565           0.502           0.662           0.899           0.953           0.530           0.484           0.622           0.918           0.944        1119.606
       428           0.565           0.502           0.662           0.899           0.953           0.530           0.484           0.622           0.918           0.944        1122.268
       429           0.565           0.502           0.662           0.899           0.953           0.530           0.484           0.622           0.918           0.944        1124.868
       430           0.565           0.502           0.662           0.899           0.953           0.530           0.484           0.622           0.918           0.944        1127.464
       431           0.565           0.502           0.662           0.899           0.953           0.530           0.484           0.622           0.918           0.944        1130.071
       432           0.565           0.502           0.662           0.899           0.953           0.530           0.484           0.622           0.918           0.944        1132.666
       433           0.565           0.502           0.662           0.899           0.953           0.530           0.484           0.622           0.918           0.944        1135.258
       434           0.565           0.502           0.662           0.899           0.953           0.530           0.484           0.622           0.918           0.944        1137.856
       435           0.565           0.502           0.662           0.899           0.953           0.531           0.484           0.623           0.918           0.944        1140.469
       436           0.565           0.501           0.662           0.899           0.953           0.531           0.484           0.623           0.918           0.944        1143.068
       437           0.565           0.502           0.662           0.899           0.953           0.531           0.484           0.623           0.918           0.944        1145.662
       438           0.565           0.502           0.662           0.899           0.953           0.531           0.484           0.623           0.918           0.944        1148.271
       439           0.565           0.502           0.662           0.899           0.953           0.531           0.484           0.623           0.918           0.944        1150.877
       440           0.565           0.502           0.662           0.899           0.953           0.531           0.484           0.623           0.918           0.944        1153.497
       441           0.565           0.501           0.662           0.899           0.953           0.531           0.485           0.623           0.917           0.944        1156.094
       442           0.565           0.501           0.662           0.899           0.953           0.531           0.485           0.623           0.918           0.944        1158.742
       443           0.565           0.501           0.662           0.899           0.953           0.531           0.485           0.623           0.918           0.944        1161.408
       444           0.565           0.501           0.662           0.899           0.953           0.531           0.485           0.623           0.918           0.944        1164.032
       445           0.565           0.501           0.662           0.899           0.953           0.531           0.485           0.623           0.918           0.944        1166.684
       446           0.565           0.501           0.662           0.899           0.953           0.531           0.485           0.623           0.918           0.944        1169.334
       447           0.565           0.501           0.662           0.900           0.953           0.532           0.485           0.623           0.917           0.944        1171.975
       448           0.564           0.501           0.661           0.900           0.953           0.532           0.485           0.623           0.917           0.944        1174.618
       449           0.564           0.501           0.662           0.900           0.953           0.532           0.485           0.623           0.917           0.944        1177.277
       450           0.564           0.501           0.662           0.900           0.953           0.532           0.485           0.623           0.917           0.944        1179.935
       451           0.564           0.501           0.662           0.900           0.953           0.532           0.485           0.623           0.917           0.944        1182.597
       452           0.564           0.501           0.662           0.900           0.953           0.532           0.485           0.623           0.917           0.944        1185.261
       453           0.564           0.501           0.661           0.900           0.954           0.532           0.485           0.624           0.917           0.944        1187.911
       454           0.564           0.501           0.661           0.900           0.953           0.532           0.485           0.624           0.917           0.944        1190.565
       455           0.564           0.501           0.661           0.900           0.954           0.532           0.485           0.624           0.917           0.944        1193.231
       456           0.564           0.501           0.661           0.900           0.954           0.532           0.485           0.624           0.917           0.944        1195.877
       457           0.564           0.501           0.661           0.900           0.954           0.532           0.485           0.624           0.917           0.944        1198.528
       458           0.564           0.501           0.661           0.900           0.954           0.532           0.485           0.624           0.917           0.944        1201.250
       459           0.564           0.501           0.661           0.900           0.954           0.532           0.485           0.624           0.917           0.944        1203.913
       460           0.564           0.501           0.661           0.900           0.954           0.532           0.485           0.624           0.917           0.944        1206.560
       461           0.564           0.501           0.661           0.900           0.954           0.532           0.485           0.624           0.917           0.944        1209.232
       462           0.564           0.501           0.661           0.900           0.954           0.532           0.485           0.624           0.917           0.944        1211.910
       463           0.564           0.501           0.661           0.900           0.954           0.532           0.485           0.624           0.917           0.944        1214.582
       464           0.564           0.501           0.661           0.900           0.954           0.532           0.485           0.624           0.917           0.944        1217.246
       465           0.564           0.501           0.661           0.900           0.954           0.532           0.486           0.624           0.917           0.944        1219.935
       466           0.564           0.501           0.661           0.900           0.954           0.532           0.486           0.624           0.917           0.944        1222.586
       467           0.564           0.501           0.661           0.900           0.954           0.532           0.486           0.624           0.917           0.944        1225.212
       468           0.564           0.501           0.661           0.900           0.954           0.532           0.486           0.624           0.917           0.944        1227.807
       469           0.564           0.501           0.661           0.900           0.954           0.532           0.486           0.624           0.917           0.944        1230.422
       470           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.624           0.917           0.944        1233.026
       471           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.624           0.917           0.944        1235.615
       472           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.624           0.917           0.944        1238.236
       473           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.624           0.917           0.944        1240.839
       474           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.624           0.917           0.944        1243.499
       475           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1246.089
       476           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1248.696
       477           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1251.291
       478           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1253.891
       479           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1256.481
       480           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1259.093
       481           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1261.688
       482           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1264.288
       483           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1266.896
       484           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1269.497
       485           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1272.098
       486           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1274.711
       487           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1277.329
       488           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1280.007
       489           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1282.682
       490           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1285.294
       491           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1287.894
       492           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1290.491
       493           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1293.095
       494           0.564           0.501           0.661           0.900           0.954           0.533           0.486           0.625           0.917           0.944        1295.703
       495           0.564           0.501           0.661           0.900           0.954           0.533           0.487           0.625           0.917           0.944        1298.307
       496           0.564           0.501           0.661           0.900           0.954           0.533           0.487           0.625           0.917           0.944        1300.904
       497           0.564           0.501           0.661           0.900           0.954           0.533           0.487           0.625           0.917           0.944        1303.603
       498           0.564           0.501           0.661           0.900           0.954           0.533           0.487           0.625           0.917           0.944        1306.216
       499           0.564           0.501           0.661           0.900           0.954           0.533           0.487           0.625           0.917           0.944        1308.808
       500           0.564           0.501           0.661           0.900           0.954           0.534           0.487           0.625           0.917           0.944        1311.402
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
The best indicator statistics
      BestEpoch        TrainMAE       TrainRMSE         TrainR2         TrainCC        ValidMAE       ValidRMSE         ValidR2         ValidCC
       271           0.560           0.741           0.874           0.939           0.471           0.601           0.923           0.947
