Load GaoDataSet from /home/sagemaker-user/BigDataSys-Project8/SolubNet/SolubNetD/dataset/Delaney1144.csv ... done (1145 lines, 9.560 seconds) 
# of training graphs/labels:      1030
# of teating graphs/labels:      114
Training Started ...
******************** 1  fold ing.... ********************
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC       ValidLoss        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
        62           0.705           0.615           0.799           0.854           0.924           0.636           0.557           0.725           0.888           0.922         162.342
        63           0.705           0.614           0.799           0.853           0.924           0.633           0.554           0.722           0.889           0.922         164.964
        64           0.701           0.612           0.796           0.855           0.925           0.634           0.555           0.723           0.889           0.923         167.521
        65           0.702           0.613           0.797           0.854           0.925           0.633           0.554           0.722           0.889           0.923         170.089
        66           0.699           0.610           0.794           0.855           0.925           0.634           0.555           0.722           0.889           0.924         172.673
        67           0.700           0.611           0.795           0.855           0.925           0.634           0.555           0.723           0.889           0.924         175.232
        68           0.696           0.607           0.791           0.856           0.926           0.629           0.552           0.719           0.890           0.924         177.795
        69           0.696           0.607           0.791           0.856           0.926           0.635           0.556           0.724           0.889           0.924         180.361
        70           0.697           0.608           0.791           0.856           0.926           0.631           0.552           0.720           0.890           0.925         182.941
        71           0.696           0.607           0.790           0.857           0.926           0.631           0.553           0.720           0.890           0.925         185.510
        72           0.693           0.605           0.788           0.857           0.927           0.633           0.554           0.722           0.889           0.926         188.088
        73           0.695           0.606           0.790           0.857           0.927           0.631           0.551           0.720           0.890           0.926         190.678
        74           0.691           0.603           0.786           0.858           0.928           0.629           0.551           0.718           0.890           0.927         193.269
        75           0.692           0.604           0.787           0.858           0.927           0.631           0.551           0.720           0.890           0.926         195.849
        76           0.690           0.601           0.785           0.859           0.928           0.629           0.550           0.718           0.890           0.927         198.467
        77           0.689           0.601           0.785           0.859           0.928           0.626           0.548           0.715           0.891           0.927         201.077
        78           0.688           0.600           0.783           0.859           0.928           0.630           0.551           0.719           0.890           0.926         203.726
        79           0.688           0.599           0.783           0.859           0.929           0.626           0.547           0.715           0.891           0.926         206.325
        80           0.684           0.596           0.779           0.861           0.930           0.627           0.549           0.716           0.891           0.927         208.923
        81           0.685           0.597           0.780           0.860           0.929           0.629           0.550           0.718           0.890           0.926         211.538
        82           0.684           0.596           0.779           0.861           0.930           0.624           0.546           0.713           0.892           0.928         214.136
        83           0.681           0.593           0.776           0.862           0.930           0.630           0.550           0.719           0.890           0.926         216.742
        84           0.683           0.595           0.778           0.861           0.930           0.627           0.548           0.716           0.891           0.927         219.362
        85           0.681           0.593           0.776           0.862           0.930           0.622           0.544           0.711           0.893           0.929         221.962
        86           0.680           0.592           0.775           0.862           0.931           0.626           0.547           0.715           0.891           0.928         224.576
        87           0.682           0.594           0.777           0.861           0.930           0.623           0.544           0.713           0.892           0.928         227.174
        88           0.678           0.590           0.773           0.863           0.931           0.622           0.544           0.712           0.892           0.928         229.794
        89           0.679           0.591           0.774           0.863           0.931           0.623           0.544           0.712           0.892           0.928         232.397
        90           0.677           0.589           0.772           0.863           0.931           0.623           0.544           0.712           0.892           0.929         235.003
        91           0.676           0.589           0.771           0.863           0.932           0.619           0.542           0.709           0.893           0.931         237.615
        92           0.677           0.590           0.772           0.863           0.931           0.623           0.544           0.712           0.892           0.929         240.293
        93           0.675           0.588           0.771           0.864           0.932           0.617           0.541           0.707           0.894           0.930         242.915
        94           0.673           0.587           0.769           0.864           0.932           0.615           0.541           0.704           0.895           0.931         245.583
        95           0.675           0.589           0.771           0.864           0.932           0.619           0.543           0.709           0.893           0.929         248.217
        96           0.675           0.588           0.770           0.864           0.932           0.618           0.542           0.708           0.894           0.929         250.842
        97           0.672           0.586           0.767           0.865           0.932           0.618           0.542           0.707           0.894           0.930         253.475
        98           0.674           0.587           0.769           0.864           0.932           0.616           0.540           0.706           0.894           0.929         256.110
        99           0.673           0.587           0.768           0.864           0.932           0.615           0.540           0.704           0.895           0.931         258.778
       100           0.671           0.585           0.766           0.865           0.933           0.615           0.541           0.705           0.894           0.931         261.393
       101           0.672           0.585           0.767           0.865           0.933           0.614           0.539           0.703           0.895           0.931         264.014
       102           0.670           0.583           0.765           0.866           0.933           0.615           0.540           0.704           0.895           0.932         266.641
       103           0.670           0.584           0.765           0.866           0.933           0.617           0.542           0.707           0.894           0.929         269.264
       104           0.669           0.583           0.764           0.866           0.933           0.611           0.538           0.701           0.896           0.933         271.876
       105           0.667           0.581           0.763           0.867           0.934           0.614           0.540           0.703           0.895           0.931         274.509
       106           0.669           0.583           0.764           0.866           0.933           0.610           0.536           0.700           0.896           0.933         277.139
       107           0.668           0.582           0.763           0.866           0.934           0.614           0.539           0.703           0.895           0.932         279.766
       108           0.670           0.584           0.766           0.865           0.933           0.611           0.538           0.700           0.896           0.932         282.385
